iter	RMSE
0	0.6629615756
1	0.6364882677
2	0.6137351112
3	0.594677941
4	0.5772881702
5	0.5620805502
6	0.5492019121
7	0.5372529537
8	0.5273442583
9	0.5183577346
10	0.5105776978
11	0.5038350331
12	0.4980720005
13	0.4929939493
14	0.4879579682
15	0.4839539128
16	0.4807277139
17	0.4774109494
18	0.4746645687
19	0.4722596912
20	0.4699440246
21	0.4676718293
22	0.4657361063
23	0.4638334267
24	0.4623298327
25	0.4608362226
26	0.459189851
27	0.4579808536
28	0.457085194
29	0.456280336
30	0.4552703665
31	0.4542454715
32	0.4534299839
33	0.4527497395
34	0.4520716015
35	0.4513130361
36	0.4506114955
37	0.4501969472
38	0.4496552422
39	0.4491509283
40	0.448626608
41	0.4482117957
42	0.4479014546
43	0.4475115278
44	0.4470627816
45	0.4465885638
46	0.4461435233
47	0.4457375301
48	0.445468511
49	0.4451628047
50	0.4448723667
51	0.4445559017
52	0.4443153611
53	0.4440696369
54	0.443799256
55	0.443514508
56	0.443250245
57	0.4430433732
58	0.4427434634
59	0.4424566009
60	0.4422645093
61	0.4421420612
62	0.4420519184
63	0.4418838472
64	0.441714532
65	0.4413701229
66	0.4412309219
67	0.4409795802
68	0.4406437312
69	0.4405130034
70	0.440314987
71	0.4401255358
72	0.4399337861
73	0.4397828208
74	0.439646862
75	0.4394464706
76	0.4392356017
77	0.4389932238
78	0.4387954083
79	0.4386123298
80	0.4383114375
81	0.4381697454
82	0.4380535831
83	0.43791402
84	0.4376037195
85	0.4374720316
86	0.43728272
87	0.437102291
88	0.4370401732
89	0.4369128054
90	0.4367669441
91	0.4366454158
92	0.4364680936
93	0.4363256601
94	0.4362887451
95	0.4361332193
96	0.4359100162
97	0.4356923793
98	0.4355863491
99	0.4354754511
100	0.4354323639
101	0.435322392
102	0.4349277448
103	0.4347429415
104	0.4346732371
105	0.4345178191
106	0.4344527746
107	0.4343952797
108	0.4342395095
109	0.434030642
110	0.4338537357
111	0.4337176413
112	0.4336339246
113	0.4335604095
114	0.4334621804
115	0.4334193914
116	0.4331871927
117	0.4330356205
118	0.4328859697
119	0.43275907
120	0.4325701344
121	0.4324414047
122	0.4322836514
123	0.4321728424
124	0.432059976
125	0.4319895425
126	0.4318187221
127	0.4317691627
128	0.4314455536
129	0.4313141374
130	0.431120836
131	0.4309414209
132	0.4307615553
133	0.4306130951
134	0.4305026178
135	0.4303377391
136	0.4302474198
137	0.4301105181
138	0.4300071436
139	0.4298861647
140	0.4297922714
141	0.4296816593
142	0.4294809211
143	0.4293169676
144	0.4291757641
145	0.4291191816
146	0.4291052314
147	0.4289651532
148	0.4288869801
149	0.4287417982
150	0.4286481593
151	0.428513056
152	0.4283783991
153	0.4282040082
154	0.4280492977
155	0.4280263421
156	0.427926218
157	0.4278267024
158	0.4277397641
159	0.4276620759
