iter	Passed	Remaining
0	159	159568
1	219	109397
2	273	90776
3	337	84067
4	387	77066
5	452	74985
6	496	70446
7	539	66850
8	575	63420
9	631	62498
10	679	61058
11	719	59260
12	792	60175
13	826	58203
14	889	58411
15	1022	62899
16	1124	65028
17	1206	65797
18	1372	70856
19	1509	73984
20	1598	74538
21	1673	74373
22	1764	74942
23	1842	74944
24	1884	73492
25	1956	73304
26	2042	73595
27	2114	73392
28	2239	74969
29	2348	75937
30	2435	76127
31	2544	76956
32	2606	76369
33	2704	76828
34	2778	76612
35	2871	76894
36	2945	76673
37	3011	76249
38	3060	75413
39	3107	74571
40	3192	74675
41	3243	73986
42	3301	73476
43	3344	72667
44	3394	72047
45	3455	71658
46	3510	71185
47	3585	71111
48	3632	70506
49	3686	70048
50	3756	69896
51	3851	70210
52	3940	70405
53	4035	70692
54	4148	71270
55	4247	71598
56	4385	72557
57	4434	72024
58	4490	71618
59	4585	71834
60	4663	71782
61	4778	72287
62	4891	72753
63	4958	72513
64	5053	72688
65	5151	72907
66	5244	73030
67	5317	72886
68	5413	73048
69	5491	72963
70	5548	72604
71	5624	72496
72	5754	73074
73	5841	73096
74	5931	73154
75	5985	72774
76	6082	72905
77	6181	73065
78	6262	73015
79	6344	72963
80	6417	72805
81	6487	72628
82	6557	72444
83	6639	72404
84	6753	72694
85	6851	72816
86	6963	73071
87	7061	73180
88	7188	73580
89	7311	73929
90	7432	74246
91	7565	74665
92	7755	75633
93	7843	75599
94	7915	75407
95	8016	75486
96	8101	75422
97	8215	75616
98	8327	75792
99	8391	75522
100	8447	75186
101	8531	75107
102	8574	74675
103	8613	74212
104	8652	73755
105	8742	73736
106	8825	73656
107	8904	73548
108	8953	73187
109	9061	73318
110	9136	73176
111	9189	72860
112	9215	72337
113	9252	71907
114	9289	71487
115	9325	71070
116	9367	70698
117	9392	70206
118	9423	69766
119	9463	69396
120	9498	69004
121	9538	68647
122	9577	68287
123	9610	67891
124	9651	67561
125	9720	67423
126	9788	67286
127	9827	66952
128	9867	66621
129	9901	66260
130	9938	65930
131	9971	65570
132	10004	65216
133	10036	64860
134	10069	64521
135	10098	64153
136	10142	63890
137	10182	63606
138	10230	63370
139	10261	63037
140	10301	62758
141	10341	62484
142	10379	62204
143	10405	61854
144	10433	61522
145	10464	61210
146	10501	60938
147	10538	60667
148	10584	60449
149	10617	60167
150	10661	59942
151	10718	59799
152	10780	59678
153	10826	59474
154	10862	59219
155	10899	58970
156	10942	58757
157	10975	58492
158	11013	58255
159	11055	58041
160	11092	57802
161	11130	57576
162	11174	57382
163	11219	57193
164	11259	56978
165	11291	56728
166	11338	56554
167	11370	56313
168	11397	56044
169	11425	55782
170	11449	55507
171	11476	55245
172	11502	54987
173	11532	54744
174	11566	54525
175	11593	54280
176	11626	54060
177	11665	53870
178	11732	53811
179	11770	53620
180	11796	53378
181	11822	53135
182	11846	52887
183	11871	52645
184	11898	52419
185	11928	52205
186	11956	51981
187	11981	51750
188	12000	51494
189	12048	51362
190	12096	51235
191	12130	51051
192	12180	50932
193	12216	50755
194	12261	50617
195	12290	50417
196	12316	50201
197	12346	50008
198	12373	49805
199	12403	49614
200	12432	49421
201	12464	49241
202	12478	48992
203	12510	48816
204	12539	48629
205	12567	48437
206	12588	48224
207	12619	48052
208	12650	47879
209	12688	47732
210	12719	47563
211	12752	47400
212	12808	47326
213	12848	47192
214	12887	47053
215	12928	46924
216	12971	46805
217	13026	46727
218	13090	46684
219	13143	46598
220	13199	46528
221	13249	46433
222	13314	46393
223	13385	46370
224	13458	46358
225	13541	46375
226	13608	46339
227	13687	46345
228	13776	46383
229	13814	46247
230	13843	46085
231	13882	45956
232	13932	45862
233	13973	45741
234	14022	45648
235	14104	45658
236	14165	45605
237	14228	45555
238	14292	45507
239	14335	45394
240	14368	45251
241	14396	45092
242	14436	44974
243	14462	44811
244	14490	44653
245	14509	44470
246	14536	44316
247	14562	44156
248	14585	43992
249	14615	43845
250	14640	43686
251	14669	43544
252	14722	43468
253	14767	43373
254	14799	43236
255	14825	43085
256	14848	42927
257	14878	42789
258	14904	42642
259	14930	42494
260	14958	42354
261	14985	42210
262	15009	42059
263	15032	41909
264	15064	41782
265	15091	41643
266	15122	41515
267	15159	41405
268	15183	41260
269	15206	41114
270	15232	40975
271	15254	40827
272	15286	40706
273	15308	40561
274	15326	40404
275	15340	40241
276	15375	40132
277	15404	40007
278	15429	39872
279	15458	39750
280	15476	39601
281	15506	39479
282	15530	39348
283	15557	39222
284	15583	39094
285	15603	38954
286	15631	38833
287	15670	38741
288	15705	38638
289	15727	38505
290	15760	38400
291	15788	38282
292	15812	38154
293	15841	38040
294	15868	37923
295	15895	37805
296	15918	37679
297	15952	37579
298	15982	37469
299	16011	37360
300	16041	37253
301	16075	37155
302	16105	37048
303	16139	36949
304	16173	36853
305	16212	36770
306	16276	36741
307	16321	36669
308	16374	36616
309	16434	36581
310	16466	36480
311	16520	36430
312	16564	36357
313	16658	36393
314	16745	36415
315	16784	36330
316	16849	36303
317	16892	36229
318	16937	36158
319	16962	36044
320	16994	35948
321	17020	35838
322	17046	35728
323	17078	35633
324	17109	35535
325	17142	35441
326	17168	35334
327	17191	35220
328	17231	35144
329	17279	35082
330	17327	35022
331	17406	35022
332	17475	35003
333	17551	34996
334	17612	34961
335	17674	34928
336	17737	34895
337	17791	34845
338	17835	34776
339	17878	34706
340	17913	34619
341	17953	34542
342	17985	34451
343	18030	34383
344	18059	34287
